TILGANG1,TILGANG2,ANVENDELSE,PRISENHED,TID,INDHOLD
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1988,0.16
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),Løbende priser,1988,1622.455
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),Foregående års priser,1988,1602.906
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1988,498.757
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1988,392.911
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1988,1101.586
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1988,1124.317
Import inkl. told,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","Anvendelse, i alt-(Anvendelse)",Løbende priser,1990,19478.92
Import inkl. told,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","Anvendelse, i alt-(Anvendelse)",Foregående års priser,1990,20514.404
Import inkl. told,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","Offentligt forbrug, i alt-(Anvendelse)",Løbende priser,1990,0.779
Import inkl. told,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1990,0.691
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Løbende priser,1990,56419.973
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Foregående års priser,1990,60544.94
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Løbende priser,1990,0.211
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1990,0.197
Import inkl. told,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)",Eksport - (Anvendelse),Løbende priser,1990,2218.368
Import inkl. told,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)",Eksport - (Anvendelse),Foregående års priser,1990,2299.088
Import inkl. told,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1990,3695.519
Import inkl. told,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1990,4562.726
Import inkl. told,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1990,4524.063
Import inkl. told,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1990,4613.45
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),Løbende priser,1990,10317.41
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),Foregående års priser,1990,11251.417
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1990,7038.73
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1990,7083.164
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1990,34748.935
Dansk produktion,01000 Landbrug og gartneri-(Tilgang),"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1990,37932.765
Import inkl. told,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","Anvendelse, i alt-(Anvendelse)",Løbende priser,1967,2000.161
Import inkl. told,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","Anvendelse, i alt-(Anvendelse)",Foregående års priser,1967,2063.648
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Løbende priser,1990,5875.799
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Foregående års priser,1990,6491.883
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Løbende priser,1990,0.162
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1990,0.137
Import inkl. told,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","Offentligt forbrug, i alt-(Anvendelse)",Løbende priser,1967,0.048
Import inkl. told,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1967,0.082
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),Løbende priser,1990,673.712
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),Foregående års priser,1990,638.16
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1990,251.789
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1990,232.741
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1990,1291.613
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1990,1484.337
Dansk produktion,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","Anvendelse, i alt-(Anvendelse)",Løbende priser,1973,34163.198
Dansk produktion,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","Anvendelse, i alt-(Anvendelse)",Foregående års priser,1973,26690.386
Dansk produktion,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","Offentligt forbrug, i alt-(Anvendelse)",Løbende priser,1973,0.579
Dansk produktion,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1973,0.729
Dansk produktion,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)",Eksport - (Anvendelse),Løbende priser,1973,13982.159
Dansk produktion,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)",Eksport - (Anvendelse),Foregående års priser,1973,10675.644
Dansk produktion,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1973,1419.962
