TILGANG1,TILGANG2,ANVENDELSE,TID,Pt
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2008,0.9844403221518796
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2009,0.7819818915017099
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2010,0.9144632542194674
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2011,0.9757262023493989
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2012,0.9625345897926791
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2013,1.0790624105105582
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2014,1.1035090443162685
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2015,0.8826816119336954
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2016,0.8356078122285117
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2017,1.0454361988337078
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2018,1.0202368097197982
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2019,0.9819479818113507
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2020,1.0
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2021,1.073040430401012
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2022,1.5008243056065733
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1967,0.41216593951840547
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1968,0.40748995649978986
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1969,0.44980640665970584
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1970,0.4551759452216201
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1971,0.45446545369242924
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1972,0.5108697720262854
