BEHOLD,BRANCHE,TID,INDHOLD
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2015,215268.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2015,98167.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2015,8888.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2015,5929.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2016,211288.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2016,97863.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2016,7848.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2016,6149.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2017,208278.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2017,98143.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2017,8513.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2017,6629.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2018,204256.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2018,100338.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2018,8038.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2018,8630.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2019,200726.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2019,101517.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2019,8390.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2019,7652.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2020,196514.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2020,101385.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2020,8046.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2020,6167.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2021,194470.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2021,101864.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2021,9806.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2021,6949.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2022,190650.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2022,102660.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2022,8443.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2022,7507.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2023,187393.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2023,103486.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2024,184590.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2024,104607.0
