TILGANG1,ANVENDELSE,PRISENHED,TID,INDHOLD
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,1996,
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1971,-38.791
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1971,-32.888
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,1971,-335.264
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,1971,-279.697
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,1971,-810.27
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,1971,-676.65
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1971,183.92
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1971,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,1971,3.549
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,1971,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,1971,3.514
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,1971,
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1986,3725.116
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1986,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1986,4366.849
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1986,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1986,1616.431
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1986,
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1968,0.098
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1968,0.082
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1968,0.0
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1968,0.0
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1968,0.0
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1968,0.0
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,2019,-6202.706
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2019,
