BEHOLD,BRANCHE,PRISENHED,TID,INDHOLD
P.51g Faste bruttoinvesteringer,33000 Reparation og installation af maskiner og udstyr,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,33000 Reparation og installation af maskiner og udstyr,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,35000 Energiforsyning,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,35000 Energiforsyning,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,36000 Vandforsyning,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,36000 Vandforsyning,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,"37390 Renovation, affaldsbehandling mv.","2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,"37390 Renovation, affaldsbehandling mv.",Løbende priser,1966,
P.51g Faste bruttoinvesteringer,41430 Bygge og anlæg,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,41430 Bygge og anlæg,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,45000 Bilhandel og -værksteder mv.,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,45000 Bilhandel og -værksteder mv.,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,46000 Engroshandel,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,46000 Engroshandel,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,47000 Detailhandel,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,47000 Detailhandel,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,49000 Landtransport,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,49000 Landtransport,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,50000 Skibsfart,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,50000 Skibsfart,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,51000 Luftfart,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,51000 Luftfart,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,52000 Hjælpevirksomhed til transport,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,52000 Hjælpevirksomhed til transport,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,53000 Post og kurertjeneste,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,53000 Post og kurertjeneste,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,55560 Hoteller og restauranter,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,55560 Hoteller og restauranter,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,58000 Udgivervirksomhed,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,58000 Udgivervirksomhed,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,"59600 Radio- og tv-stationer samt produktion af film, tv, mus","2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,"59600 Radio- og tv-stationer samt produktion af film, tv, mus",Løbende priser,1966,
P.51g Faste bruttoinvesteringer,61000 Telekommunikation,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,61000 Telekommunikation,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,62630 It- og informationstjenester,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,62630 It- og informationstjenester,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,64000 Finansiel virksomhed,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,64000 Finansiel virksomhed,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,65000 Forsikring og pension,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,65000 Forsikring og pension,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,66000 Finansiel service,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,66000 Finansiel service,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,68100 Ejendomsmæglere mv.,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,68100 Ejendomsmæglere mv.,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,"68203 Boliger, husleje i lejeboliger","2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,"68203 Boliger, husleje i lejeboliger",Løbende priser,1966,
P.51g Faste bruttoinvesteringer,"68204 Boliger, ejerboliger mv.","2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,"68204 Boliger, ejerboliger mv.",Løbende priser,1966,
