TILGANG1,ANVENDELSE,PRISENHED,TID,INDHOLD
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2004,-430.323
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2004,-355.513
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2004,-1241.417
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2004,-1299.326
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1968,-77.269
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1968,-442.476
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1968,-367.47
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1968,129.38
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1968,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1968,10.703
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1968,
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2019,9946.803
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2019,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2019,20401.368
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2019,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2019,10.67
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2019,2.016
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2019,35.509
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2019,24.412
