BEHOLD,BRANCHE,TID,Xt
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,2021,7489112.688203108
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,2022,7648995.386518426
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,2023,7786056.25812048
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,2024,7926877.216142846
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1966,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1967,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1968,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1969,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1970,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1971,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1972,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1973,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1974,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1975,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1976,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1977,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1978,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1979,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1980,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1981,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1982,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1983,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1984,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1985,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1986,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1987,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1988,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1989,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1990,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1991,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1992,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1993,8517.000000000002
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1994,9728.000000000004
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1995,10927.000000000004
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1996,11353.000000000005
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1997,12656.000000000002
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1998,12769.000000000004
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1999,12084.000000000002
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2000,13504.000000000004
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2001,15186.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2002,12935.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2003,12715.000000000002
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2004,12932.000000000002
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2005,13633.000000000002
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2006,16218.000000000002
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2007,18825.000000000004
