BEHOLD,BRANCHE,PRISENHED,TID,INDHOLD
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,"2020-priser, kædede værdier",1994,261404.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,Løbende priser,1994,154046.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1994,80168.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1994,52790.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,"2020-priser, kædede værdier",1994,9728.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,Løbende priser,1994,6010.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1994,6403.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1994,4611.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,"2020-priser, kædede værdier",1995,258846.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,Løbende priser,1995,157620.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1995,80875.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1995,54788.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,"2020-priser, kædede værdier",1995,10927.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,Løbende priser,1995,6815.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1995,6422.0
