SOCIO,BRANCHE,TID,INDHOLD
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1970,3510802
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1971,3460804
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1972,3426871
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1973,3389660
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1974,3337873
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1975,3140833
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1976,3234881
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1977,3181407
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1978,3178026
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1979,3230913
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1980,3278021
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1981,3174162
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1982,3225203
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1983,3231647
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1984,3290327
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1985,3359923
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1986,3472732
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1987,3416227
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1988,3365305
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1989,3329015
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1990,3305200
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1991,3263940
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1992,3266437
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1993,3209333
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1994,3198733
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1995,3258067
